date,Qualification,geography_name,geography_code,school_type_group,Institution,subject_area,Subject,Number at grade A*.,Number at grade A.,Number at grade B.,Number at grade C.,Number at grade D.,Number at grade E.,Number at grade U.,Exam entries,astar_a_grade_achieved,astar_b_grade_achieved,astar_c_grade_achieved,astar_d_grade_achieved,astar_e_grade_achieved,Percent achieving grade A*,perc_a_grade_achieved,perc_b_grade_achieved,perc_c_grade_achieved,perc_d_grade_achieved,perc_e_grade_achieved,Percent achieving grade A* - A,Percent achieving grade A* - B,Percent achieving grade A* - C,Percent achieving grade A* - D,Percent achieving grade A* - E
2020/21,A level,York,E06000014,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,A level,North Yorkshire,E10000023,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,North Yorkshire,E10000023,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,York,E06000014,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,North Yorkshire,E10000023,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,York,E06000014,State-funded institutions,All state-funded schools and colleges,Maths,Additional Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Bradford,E08000032,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Calderdale,E08000033,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Kirklees,E08000034,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Leeds,E08000035,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Wakefield,E08000036,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,North Yorkshire,E10000023,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,York,E06000014,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Bradford,E08000032,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Calderdale,E08000033,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Kirklees,E08000034,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,Wakefield,E08000036,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,North Yorkshire,E10000023,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,AS level,York,E06000014,State-funded institutions,All state-funded schools,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021/22,A level,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Anthropology,Total Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
